Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
19953100220,2752,1205,,,,,,,,,,"0,070","25302,319",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953578969,2656,1307,,,,,,,,,,"0,070","26216,866",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953598201,2496,1311,,,,,,,,,,"0,070","27897,434",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953618873,2495,1315,,,,,,,,,,"0,033","13133,447",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953634680,2560,1319,,,,,,,,,,"0,037","14400,000",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953652536,2496,1323,,,,,,,,,,"0,033","13128,204",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953668120,2496,1327,,,,,,,,,,"0,033","13128,204",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953802711,2496,1348,,,,,,,,,,"0,033","13128,204",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953820055,2496,1352,,,,,,,,,,"0,033","13128,204",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953840183,2496,1356,,,,,,,,,,"0,033","13128,204",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19953855895,2495,1360,,,,,,,,,,"0,033","13133,447",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19973408191,3007,1379,,,,,,,,,,"0,000","2,660",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
19974231160,6592,1380,17,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
19974245528,2720,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
19989890975,4224,1391,18,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
19990101725,3552,1397,16,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
19990172636,2752,1405,,,,,,,,,,"0,033","11906,974",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
19990445562,3264,1408,8,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
19990539801,2464,1410,,,,,,,,,,"0,066","26597,392",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19990557529,3232,1413,8,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
19990586361,3616,1415,16,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
19990593753,3584,1416,16,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
19990629689,3456,1420,16,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
19990650585,3391,1424,16,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
19990673657,2783,1428,,,,,,,,,,"0,033","11774,329",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
19990689080,3360,1431,4,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
19990697528,3296,1434,4,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
19990704504,2464,1436,,,,,,,,,,"0,066","26597,392",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
19990716856,3648,1438,16,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
19990721688,3648,1439,16,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
19992512170,3200,1441,32,1,1,256,1,1,18,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<Solver::scaleGreenFunction_(const Topology *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
19992685897,2592,1514,,,,,,,,,,"0,209","80592,495",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
20012307216,1490324,2047,,,,,,,,,,"4,044","2709,480",Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
20013808741,1376,2049,,,,,,,,,,"0,000","5,814",Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
