Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
29869117279,1728,1205,,,,,,,,,,"0,001","740,740",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870579732,1408,1307,,,,,,,,,,"0,001","909,091",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870600500,1408,1311,,,,,,,,,,"0,001","909,091",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870620340,1376,1315,,,,,,,,,,"0,001","372,093",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870635731,1376,1319,,,,,,,,,,"0,001","558,139",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870650867,1376,1323,,,,,,,,,,"0,001","372,093",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870666771,1344,1327,,,,,,,,,,"0,001","380,952",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870923729,1376,1348,,,,,,,,,,"0,001","372,093",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870940081,1408,1352,,,,,,,,,,"0,001","363,636",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870955121,1408,1356,,,,,,,,,,"0,001","363,636",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29870972049,1376,1360,,,,,,,,,,"0,001","372,093",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
29956413364,3007,1379,,,,,,,,,,"0,000","2,660",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
29957239245,6560,1380,1,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
29957256333,2720,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
30012475197,4320,1391,1,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
30012751226,1377,1397,,,,,,,,,,"0,001","371,823",Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
30012779514,3264,1400,1,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
30012851705,2944,1408,,,,,,,,,,"0,001","173,913",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
30013251510,2817,1411,1,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
30013260534,2880,1414,1,1,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
30013313302,1504,1416,,,,,,,,,,"0,001","680,850",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
30013350230,3424,1418,1,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
30013357334,3327,1419,1,1,1,256,1,1,28,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyChunk2Data(const MemChunk *, const int *, double *, bool)::[lambda(int) (instance 1)]>(T1, int)"
