Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
48686746424,177503,1205,,,,,,,,,,"269,484","1518003,552",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48687585426,178110,1307,,,,,,,,,,"269,484","1512883,356",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48687964623,178302,1311,,,,,,,,,,"269,484","1511266,451",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48688361548,90527,1315,,,,,,,,,,"134,218","1482569,023",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48688640009,90624,1319,,,,,,,,,,"135,266","1492528,398",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48688870536,90399,1323,,,,,,,,,,"134,218","1484716,507",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48689098886,89983,1327,,,,,,,,,,"134,218","1491561,611",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48689535203,91423,1348,,,,,,,,,,"134,218","1468073,509",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48689762849,90175,1352,,,,,,,,,,"134,218","1488340,386",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48690018687,89631,1356,,,,,,,,,,"134,218","1497332,974",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48690239421,90239,1360,,,,,,,,,,"134,218","1487266,644",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
48710021444,3040,1379,,,,,,,,,,"0,000","2,632",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
48710852254,1230678,1380,65792,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
48712091508,2720,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
48727511901,572443,1391,66048,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
48728999377,573756,1397,65536,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
48729643820,195519,1405,,,,,,,,,,"134,218","686389,461",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
48730114633,197406,1408,2048,4,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
48730313511,3744,1411,1,4,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
48737840877,194654,1414,2048,4,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
