Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
47937149139,5536,1205,,,,,,,,,,"4,260","769476,198",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47937809806,5408,1307,,,,,,,,,,"4,260","787691,274",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47938049164,5376,1311,,,,,,,,,,"4,260","792377,098",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47938244586,3649,1315,,,,,,,,,,"2,097","574718,214",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47938432041,3712,1319,,,,,,,,,,"2,163","582619,496",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47938618952,3616,1323,,,,,,,,,,"2,097","579963,191",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47938784743,3584,1327,,,,,,,,,,"2,097","585141,060",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47939082948,3648,1348,,,,,,,,,,"2,097","574875,501",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47939237155,3616,1352,,,,,,,,,,"2,097","579963,191",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47939440066,3584,1356,,,,,,,,,,"2,097","585141,060",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47939602272,3680,1360,,,,,,,,,,"2,097","569877,987",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
47959178859,3008,1379,,,,,,,,,,"0,000","2,660",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
47960020036,25504,1380,1040,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
47960053732,2752,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
