Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1061278087,25887,1205,,,,,,,,,,"33,817","1306300,514",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1062853882,24800,1307,,,,,,,,,,"33,817","1363551,977",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1063055001,25472,1311,,,,,,,,,,"33,817","1327571,141",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1064516910,14207,1315,,,,,,,,,,"16,777","1180897,903",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1066038882,14560,1319,,,,,,,,,,"17,039","1170280,284",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1068991819,14464,1323,,,,,,,,,,"16,777","1159926,383",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1070358688,14176,1327,,,,,,,,,,"16,777","1183481,594",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1071129978,13792,1348,,,,,,,,,,"16,777","1216432,046",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1072416145,14656,1352,,,,,,,,,,"16,777","1144726,225",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1073298218,14080,1356,,,,,,,,,,"16,777","1191551,435",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1074862750,14015,1360,,,,,,,,,,"16,777","1197087,916",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
1095380543,3136,1379,,,,,,,,,,"0,000","2,551",Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Device-to-Host]
1096285048,158878,1380,8256,1,1,256,1,1,170,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 1)]>(T1, int)"
1096452759,2751,1381,1,1,1,256,1,1,16,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<cmpt_Green_0dirunbounded(const Topology *, double, const double *, const double *, const double *, double *, GreenType, double, const int *, const int *)::[lambda(int) (instance 2)]>(T1, int)"
1118695690,77632,1391,8320,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
1119343717,75584,1397,8192,1,1,256,1,1,34,"0,000","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void cuda_kernel_<CopyData2Chunk(const int *, double *, MemChunk *)::[lambda(int) (instance 1)]>(T1, int)"
1119488484,24640,1405,,,,,,,,,,"16,777","680886,534",Device,Device,NVIDIA A100-SXM4-40GB (0),1,,15,[CUDA memcpy Device-to-Device]
1119776098,19840,1408,512,2,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
1120456541,21216,1411,512,2,1,256,1,1,32,"0,008","0,000",,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void transpose_readWrite_alignment_kernel<double2, double2, (int)1, (bool)0, (int)5, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)"
1120577180,25024,1413,,,,,,,,,,"33,554","1340868,657",Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
